Order Id,Order Date,Year,Month,Month Name,Quarter,Product Category,Size,Region,Acquisition Channel,Units Ordered,Discount Applied,Discount Pct,Order Value Usd,Manufacturing Cost Usd,Fulfillment Cost Usd,Total Cogs Usd,Gross Profit Usd,Gross Margin Pct,Is Returned
ORD-10161,07-06-2021,2021,6,Jun,Q2,Bottoms,M,East,Direct,1,0,0,$28.50,$8.39,$2.93,$11.32,$17.18,60.28,0
ORD-10148,08-06-2021,2021,6,Jun,Q2,Dresses,S,East,Instagram / Social,2,0,0,$35.36,$10.46,$2.90,$13.36,$22.00,62.22,1
ORD-10144,09-06-2021,2021,6,Jun,Q2,Dresses,M,East,Direct,1,1,0.08,$36.81,$10.42,$3.24,$13.66,$23.15,62.89,1
ORD-10169,09-06-2021,2021,6,Jun,Q2,Tops & T-Shirts,XS,West,Paid Search,1,0,0,$24.02,$6.91,$3.06,$9.97,$14.05,58.49,0
ORD-10150,11-06-2021,2021,6,Jun,Q2,Bottoms,S,West,Instagram / Social,1,1,0.16,$27.43,$8.61,$3.16,$11.77,$15.66,57.09,0
ORD-10146,14-06-2021,2021,6,Jun,Q2,Dresses,XL,West,Paid Search,2,0,0,$35.49,$10.35,$3.12,$13.47,$22.02,62.05,0
ORD-10163,14-06-2021,2021,6,Jun,Q2,Dresses,L,South,Instagram / Social,1,0,0,$35.37,$10.24,$3.18,$13.42,$21.95,62.06,0
ORD-10165,17-06-2021,2021,6,Jun,Q2,Dresses,XS,South,Instagram / Social,1,0,0,$38.25,$10.80,$2.95,$13.75,$24.50,64.05,0
ORD-10172,18-06-2021,2021,6,Jun,Q2,Activewear,XL,East,Email Campaign,1,0,0,$29.57,$9.01,$3.28,$12.29,$17.28,58.44,0
ORD-10160,19-06-2021,2021,6,Jun,Q2,Dresses,M,North,Instagram / Social,1,0,0,$34.43,$10.57,$2.98,$13.55,$20.88,60.64,1
ORD-10162,19-06-2021,2021,6,Jun,Q2,Tops & T-Shirts,M,North,Organic Search,2,1,0.12,$23.25,$7.35,$3.18,$10.53,$12.72,54.71,0
ORD-10153,20-06-2021,2021,6,Jun,Q2,Outerwear,L,South,Paid Search,1,0,0,$47.59,$13.08,$3.07,$16.15,$31.44,66.06,1
ORD-10152,21-06-2021,2021,6,Jun,Q2,Dresses,M,East,Instagram / Social,1,0,0,$34.77,$10.66,$3.08,$13.74,$21.03,60.48,0
ORD-10175,22-06-2021,2021,6,Jun,Q2,Bottoms,XS,West,Instagram / Social,1,0,0,$27.55,$8.58,$2.98,$11.56,$15.99,58.04,1
ORD-10170,23-06-2021,2021,6,Jun,Q2,Bottoms,L,North,Paid Search,2,0,0,$30.38,$8.13,$2.97,$11.10,$19.28,63.46,0
